Customer ID,Account ID,Customer,Region,Industry/Sector,Asset Type,AssetI D,Contract Start Date,Contract End Date,Credit Score,Monthly Revenue (USD),Outstanding Balance,FinancedAmount (USD),Instalment Amount,Interest Rate,Debt-to-Income Ratio,Credit Utilisation %,On Time Payments (Count),LatePayments (Count),Days Past Due,Last Payment Date,Payment Pattern Category,Transaction Volume (30/60/90 days),Returned Payments Flag,RiskScore (AI-generated),Probability OfDefault (PD),ModelConfidence,Model Version,Risk Band,TopFeatures,Exposure At Default (EAD),Asset Value,Collateral Value,Contract Status,High Risk Flag,Fraud Check Flag,Compliance Issues Flag,Last KYC Review Date,Next Review Due Date,Data Source,Record Created Date,Last Updated Date,Data Quality Score,Customer Tenure,Number Of Open Accounts,Previous Defaults Flag,Country Risk Score
CUST0001,46,Heywood Haselwood,East,Healthcare,Mortgage,AST0001,04-Mar-22,45445,442,8717,177392,199161,4567,3.09,0.9,0.03,55,14,129,29-Mar-22,High-Risk,3/143/101,No,0.375,0.951,0.578,v2.7,High,"{""IncomeImpact"": 0.732, ""CreditHistory"": 0.599, ""DTI"": 0.156}",146852,429374,3407,Active,No,No,No,28-Sept-16,17-Mar-26,DataWarehouse,23-Feb-16,15-Jan-16,0.69,12,6,No,6
CUST0002,187,Giustina Battleson,North,Manufacturing,Loan,AST0002,08-Mar-23,47239,600,43198,162141,237115,3062,14.86,1.44,0.05,58,49,74,07-Sept-24,Good,29/25/194,No,0.058,0.866,0.985,v4.5,Low,"{""IncomeImpact"": 0.601, ""CreditHistory"": 0.708, ""DTI"": 0.021}",195081,191264,109842,Written-Off,No,Yes,Yes,27-Dec-20,02-Feb-29,CoreBanking,31-Oct-16,08-Mar-20,0.69,18,4,No,99
CUST0003,132,Briny Ratt,North,Retail,Credit Line,AST0003,14-Sept-23,45777,574,6337,55307,244373,4746,22.03,0.7,0.66,101,41,117,09-Jan-24,Good,33/35/126,No,0.832,0.212,0.762,v5.6,High,"{""IncomeImpact"": 0.182, ""CreditHistory"": 0.183, ""DTI"": 0.304}",210400,194790,114987,Active,No,Yes,Yes,28-Aug-24,13-Aug-25,CoreBanking,14-Jan-22,17-Oct-16,0.9,14,10,Yes,50
CUST0004,215,Say Kubasek,Central,Retail,Loan,AST0004,13-Apr-19,46373,417,46676,140763,201838,2285,19.45,0.75,0.29,40,29,0,12-Jul-24,High-Risk,92/67/256,Yes,0.432,0.291,0.683,v5.1,High,"{""IncomeImpact"": 0.612, ""CreditHistory"": 0.139, ""DTI"": 0.292}",157471,446277,334993,Written-Off,Yes,Yes,No,21-Jul-23,27-Nov-25,CRM,19-Sept-21,20-Aug-18,0.74,4,6,No,31
CUST0005,139,Jemmie Kermath,North,Finance,Credit Line,AST0005,26-Aug-15,43593,370,36911,32967,38657,3993,23.72,0.41,0.53,155,27,54,30-Oct-18,High-Risk,96/186/102,No,0.456,0.785,0.523,v4.5,Medium,"{""IncomeImpact"": 0.2, ""CreditHistory"": 0.514, ""DTI"": 0.592}",272358,241708,63441,Active,Yes,Yes,No,28-Mar-15,19-Apr-28,CoreBanking,07-Aug-21,21-Jun-17,0.5,2,4,Yes,5
CUST0006,161,Nicolle Balchen,Central,Healthcare,Lease,AST0006,22-Aug-24,47244,797,16040,141356,39684,4777,14.83,0.56,0.47,104,12,24,09-Sept-24,Good,84/110/181,No,0.608,0.171,0.904,v4.7,High,"{""IncomeImpact"": 0.065, ""CreditHistory"": 0.949, ""DTI"": 0.966}",29401,358036,342598,Written-Off,Yes,Yes,No,02-Mar-23,26-Nov-26,CRM,15-Oct-17,23-Feb-17,0.6,15,3,No,24
CUST0007,106,Mae Burgess,North,Manufacturing,Loan,AST0007,14-Feb-18,45404,351,44738,141711,224159,220,24.26,1.86,0.85,42,26,124,03-Dec-20,Irregular,27/102/30,Yes,0.305,0.098,0.748,v4.0,Medium,"{""IncomeImpact"": 0.684, ""CreditHistory"": 0.44, ""DTI"": 0.122}",140042,490762,238555,Closed,No,No,Yes,16-Feb-17,31-Aug-26,CoreBanking,28-Aug-15,30-Jun-21,0.87,2,6,Yes,7
CUST0008,186,Martin Batts,Central,Healthcare,Loan,AST0008,20-Jul-21,46714,820,7250,48712,22962,4974,2.63,1.74,0.4,145,15,148,14-May-24,High-Risk,5/158/41,No,0.034,0.909,0.76,v5.9,High,"{""IncomeImpact"": 0.259, ""CreditHistory"": 0.663, ""DTI"": 0.312}",166868,495055,136716,Active,No,Yes,No,10-Jun-19,26-Sept-25,DataWarehouse,16-Feb-20,19-Jul-18,0.96,3,1,No,80
CUST0009,152,Celestyna Eads,Central,Healthcare,Lease,AST0009,25-Apr-21,45085,435,24872,18033,235495,2101,9.87,0.4,0.83,180,19,156,09-Jul-21,High-Risk,67/2/283,No,0.547,0.185,0.947,v1.2,Medium,"{""IncomeImpact"": 0.97, ""CreditHistory"": 0.775, ""DTI"": 0.939}",61517,471465,56117,Written-Off,Yes,No,No,13-Oct-21,08-Mar-26,DataWarehouse,13-Apr-17,16-Sept-22,0.82,9,9,No,33
CUST0010,164,Felike Shitliffe,West,Retail,Loan,AST0010,27-Jun-24,46043,303,23859,34293,172015,2245,4.88,0.94,0.71,143,0,28,20-Jul-24,Good,88/38/279,Yes,0.598,0.922,0.663,v3.9,High,"{""IncomeImpact"": 0.088, ""CreditHistory"": 0.196, ""DTI"": 0.045}",78643,230332,66818,Active,No,No,Yes,05-Jan-19,07-Mar-26,CoreBanking,24-Jun-22,26-Feb-16,0.68,18,7,Yes,31
CUST0011,198,Leonard Draijer,South,Manufacturing,Loan,AST0011,11-Sept-24,46576,483,23770,107928,215301,2132,7.4,1.6,0.11,9,30,56,22-Dec-24,Good,58/89/156,Yes,0.389,0.271,0.771,v2.0,High,"{""IncomeImpact"": 0.829, ""CreditHistory"": 0.357, ""DTI"": 0.281}",102255,213910,172103,Closed,Yes,No,No,12-Mar-22,10-Nov-27,API,15-Aug-22,17-Jun-24,0.77,1,2,No,23
CUST0012,211,Willamina Coatham,North,Technology,Credit Line,AST0012,06-Jul-21,45835,653,49745,82228,119398,4289,3.78,1.81,0.19,11,45,111,22-Sept-21,Good,66/137/100,No,0.141,0.802,0.599,v4.1,High,"{""IncomeImpact"": 0.075, ""CreditHistory"": 0.987, ""DTI"": 0.772}",174119,331712,164582,Written-Off,Yes,No,No,24-Jun-22,17-Apr-27,DataWarehouse,07-Jul-19,26-Oct-22,0.65,5,4,No,86
